Iteration-index		e_normA		r_norm2
602		1.3277895279		5.9338585253
603		1.3222006647		6.2578079366
604		1.3165706717		6.0374668636
605		1.3107416704		5.2832166844
606		1.3063056039		4.8877746424
607		1.3029087963		4.3793823929
608		1.3001911416		3.8589286114
609		1.2978557218		3.6384157858
610		1.2958462049		3.6427598714
611		1.2939515258		3.5200821885
612		1.2917114557		3.5646158141
613		1.2893514681		3.9368675335
614		1.2865937788		4.3053280307
615		1.2831712024		4.5440895800
616		1.2789821818		4.6780326055
617		1.2746577750		4.9072872467
618		1.2702219458		5.3420927503
619		1.2660203893		5.4625491799
620		1.2612876236		5.3863078568
621		1.2561373653		5.7091926605
622		1.2507117921		5.5957627012
623		1.2446760960		5.0952170158
624		1.2394011580		4.8635668638
625		1.2351029864		4.6842831793
626		1.2314701219		4.4250980753
627		1.2283980386		4.1415994242
628		1.2254237422		3.7805596109
629		1.2227299668		3.8088748099
630		1.2204034135		3.6285241346
631		1.2181240774		3.3717706048
632		1.2157582875		3.0785192511
633		1.2138927980		3.0392229939
634		1.2123608394		2.9910738654
635		1.2109304819		2.8291584834
636		1.2094586382		2.8012656589
637		1.2080894468		3.0965505608
638		1.2065783939		2.9898748754
639		1.2048014046		3.1068260514
640		1.2031121975		3.2381770314
641		1.2013397919		3.0337355039
642		1.1995248939		3.0820107434
643		1.1975180639		3.4631063145
644		1.1953191935		4.0908586643
645		1.1923091486		4.3365740578
646		1.1878058058		4.9944608912
647		1.1827089140		5.2981324545
648		1.1773907644		5.4695837607
649		1.1715242148		5.3003570975
650		1.1651735308		5.4501664165
651		1.1587166983		5.3118684490
652		1.1532242276		5.1739691129
653		1.1484729904		4.8528747106
654		1.1436521021		4.4023129713
655		1.1394198308		4.1798452078
656		1.1359192631		3.9080024818
657		1.1332635644		3.6569489656
658		1.1311477930		3.3314750628
659		1.1290008608		3.3799190785
660		1.1269076670		3.4955484650
661		1.1247264436		3.2675309659
662		1.1223710300		3.1997107974
663		1.1199010365		3.5039391757
664		1.1175762398		3.6121888896
665		1.1152602966		3.3096798049
666		1.1130730901		2.9690191282
667		1.1113101612		2.7794200797
668		1.1098757218		2.6118296150
669		1.1087943984		2.3008466971
670		1.1078112744		2.2659893002
671		1.1068778308		2.2816875726
672		1.1058518147		2.2718146679
673		1.1046872326		2.3763625953
674		1.1033553838		2.5910387882
675		1.1019131355		2.8321286150
676		1.1003994716		2.9553953006
677		1.0984449656		3.1009339109
678		1.0963777974		3.4573235982
679		1.0941563214		3.6454450571
680		1.0910591004		3.9920867951
681		1.0874597946		4.4515610860
682		1.0836264875		4.5760198160
683		1.0789835490		4.5115006211
684		1.0740338792		4.5688341466
685		1.0689174369		4.7328748301
686		1.0641481705		5.2975021716
687		1.0589960817		5.2015404365
688		1.0528300214		5.0637520272
689		1.0472940988		4.9632150602
690		1.0423652053		4.8015583525
691		1.0376477413		4.2143005549
692		1.0341732901		3.9272353787
693		1.0314488625		3.7307327596
694		1.0291830919		3.4479089836
695		1.0268076269		2.9628887340
696		1.0249357397		2.8756380598
697		1.0234466091		2.5756016796
698		1.0220746036		2.4411270276
699		1.0208484375		2.3691150527
700		1.0197086785		2.2907525218
701		1.0186210786		2.1423068356
702		1.0176712550		2.1418493225
703		1.0168311609		2.0837914893
704		1.0159756664		2.0182389543
705		1.0150816284		2.0679805530
706		1.0142143249		2.2693293492
707		1.0132241764		2.1109839408
708		1.0121636894		2.0707983631
709		1.0111774133		1.9975939124
710		1.0103243365		2.0032212969
711		1.0094182086		1.8512397968
712		1.0084972856		1.9347883117
713		1.0076258132		2.0466564039
714		1.0068254321		2.2506021143
715		1.0057831447		2.2814828283
716		1.0043604367		2.5321902332
717		1.0027346963		2.8688752040
718		1.0006376928		3.1858935466
719		0.9980107608		3.5974814632
720		0.9942331412		4.0821382820
721		0.9900045066		4.7674867829
722		0.9858593761		4.6910624728
723		0.9810094784		4.4020491258
724		0.9762575543		4.3743907223
725		0.9723635520		4.3307718508
726		0.9688582191		3.7183613148
727		0.9660526800		3.1486916990
728		0.9643590980		2.5770542103
729		0.9630075825		2.1201560942
730		0.9619491165		1.9459717325
731		0.9611910531		1.7810549042
732		0.9606108479		1.5812443251
733		0.9600863773		1.4605179528
734		0.9596381733		1.4258355904
735		0.9592438010		1.3886311300
736		0.9588674430		1.2355052613
737		0.9585025448		1.2205719442
738		0.9581774625		1.2720436162
739		0.9578347361		1.2597782338
740		0.9574490200		1.2765009986
741		0.9570967646		1.2830439136
742		0.9566988808		1.2755153370
743		0.9562207629		1.4505962853
744		0.9556898217		1.7430795450
745		0.9550216481		1.8992641691
746		0.9540231322		2.1166402401
747		0.9527303260		2.5524863961
748		0.9511586638		2.8200782487
749		0.9491926546		3.1223889242
750		0.9469920831		3.3275107871
751		0.9445940693		3.2420687298
752		0.9420988972		3.1102203361
753		0.9397209946		2.8460394442
754		0.9376751099		2.6871329047
755		0.9359273061		2.7241758198
756		0.9342470494		2.6421934078
757		0.9324684132		2.6229372375
758		0.9309584367		2.6338724518
759		0.9296914350		2.1591023288
760		0.9286794326		1.7527319213
761		0.9280540323		1.5325718374
762		0.9276262890		1.2740765270
763		0.9273011384		1.0570133633
764		0.9270286763		0.9436222220
765		0.9267947729		0.8838632476
766		0.9266071464		0.8618175559
767		0.9264534246		0.8184789944
768		0.9262985758		0.7751947003
769		0.9261488573		0.7994069318
770		0.9259979633		0.8373555395
771		0.9257928301		0.9161032843
772		0.9254973115		1.1324469969
773		0.9250965357		1.4353432386
774		0.9245381919		1.7336598549
775		0.9236402397		2.0244400210
776		0.9224456232		2.3955331823
777		0.9211651080		2.5795020179
778		0.9195832232		2.6686010904
779		0.9177821202		2.7719609561
780		0.9160697391		2.7460510778
781		0.9140838322		2.7956619752
782		0.9120696512		2.7420012311
783		0.9099558956		2.7944593016
784		0.9081686068		2.7243822783
785		0.9067248560		2.3849777824
786		0.9056041331		2.1191603933
787		0.9047882988		1.7239941102
788		0.9041720395		1.4541729283
789		0.9037625091		1.3291702536
790		0.9034317354		1.0682456822
791		0.9031560382		0.9101826898
792		0.9029409739		0.8395554342
793		0.9027636166		0.8231987871
794		0.9026172252		0.8077420847
795		0.9024648438		0.7775596532
796		0.9022886806		0.8469071574
797		0.9021222051		0.9404885388
798		0.9019171535		1.0078150146
799		0.9016606549		1.1485211932
800		0.9013046951		1.3384030330
801		0.9006919727		1.6066298152
802		0.8997285507		2.0247115350
803		0.8983464953		2.4648818579
804		0.8966109412		2.6433051909
805		0.8947312588		2.7542124203
806		0.8925520563		2.7539961510
807		0.8904289407		2.9362146113
808		0.8886114041		2.9295267301
809		0.8867943436		2.4392194365
810		0.8854866155		2.0615622945
811		0.8846548676		1.7619772166
812		0.8840493405		1.4478212399
813		0.8835610470		1.3068458867
814		0.8831723899		1.1930175559
815		0.8828529161		1.0191981757
816		0.8826232247		0.9230235375
817		0.8824399042		0.8218132765
818		0.8822928146		0.7725927276
819		0.8821507156		0.6867578811
820		0.8820241819		0.7389350775
821		0.8819191740		0.7347038269
822		0.8817846954		0.7015182842
823		0.8816383101		0.7290480155
824		0.8814816317		0.8233647614
825		0.8813101761		0.9265984259
826		0.8810742246		1.0869151879
827		0.8807557705		1.3150411111
828		0.8802584222		1.4536726257
829		0.8794735689		1.7313336600
830		0.8784142486		2.1162154096
831		0.8773005680		2.3850784010
832		0.8760695089		2.3533896455
833		0.8746605953		2.4478170762
834		0.8732487814		2.3345500163
835		0.8718660607		2.1589925216
836		0.8705874479		2.3067445440
837		0.8695840121		2.1061033188
838		0.8686371639		1.7351778090
839		0.8678412243		1.4657466714
840		0.8673166617		1.2756258972
841		0.8669823237		1.0932420314
842		0.8667410917		0.8892715597
843		0.8665557058		0.7832897487
844		0.8664190328		0.7002472941
845		0.8662908664		0.6521381485
846		0.8661661993		0.6564075466
847		0.8660513646		0.6919633804
848		0.8659280242		0.7043044755
849		0.8657922033		0.7310902553
850		0.8656410387		0.7636481567
851		0.8654665743		0.8138466911
852		0.8652814726		0.9098768431
853		0.8650700142		0.9901046085
854		0.8648236761		1.0997370461
855		0.8645073332		1.1524548745
856		0.8640752011		1.3528858199
857		0.8635570912		1.6329565279
858		0.8628611090		1.8285111021
859		0.8618247870		2.1636375472
860		0.8601284668		2.6040742027
861		0.8579914588		2.8190279206
862		0.8557175405		2.7832655334
863		0.8534966716		2.5449985265
864		0.8518580254		2.2649948803
865		0.8507167595		2.0082790002
866		0.8499174077		1.5111504845
867		0.8494556318		1.1616561702
